| Time  | Date       | Doctor Name          | Specialization  | Appointment History | Vacation/Leave Info | Location         | Patient Load |
|-------|------------|----------------------|------------------|----------------------|---------------------|------------------|--------------|
| 10:00 | 12/04/2022 | Dr. Sneha Kapoor     | Cardiology       | Moderate             | None                | Jaipur            | 20           |
| 13:30 | 17/04/2022 | Dr. Vikas Deshmukh   | Orthopedics       | High                 | 15-20 Apr 2022      | Coimbatore        | 15           |
| 15:45 | 22/04/2022 | Dr. Ayesha Patel     | Dermatology      | Low                  | None                | Ahmedabad         | 25           |
| 16:30 | 27/04/2022 | Dr. Sameera Singh    | Pediatrics       | Moderate             | None                | Bhopal            | 18           |
| 11:15 | 03/05/2022 | Dr. Varun Reddy      | Gynecology        | High                 | None                | Chandigarh        | 22           |
| 14:00 | 08/05/2022 | Dr. Kavita Desai     | Cardiology       | Low                  | 08-15 May 2022      | Pune              | 30           |
| 16:30 | 13/05/2022 | Dr. Rishi Verma      | Orthopedics       | Moderate             | None                | Lucknow           | 16           |
| 08:45 | 18/05/2022 | Dr. Nandini Gupta    | Dermatology      | High                 | None                | Delhi             | 12           |
| 12:30 | 23/05/2022 | Dr. Abhinav Patel    | Pediatrics       | Low                  | 23-28 May 2022      | Kolkata           | 28           |
| 15:00 | 28/05/2022 | Dr. Ananya Kumar     | Gynecology        | Moderate             | None                | Bangalore         | 21           |
| 09:15 | 02/06/2022 | Dr. Vivek Joshi      | Cardiology       | High                 | None                | Hyderabad         | 19           |
| 11:45 | 07/06/2022 | Dr. Ishita Malhotra  | Orthopedics       | Low                  | None                | Mumbai            | 24           |
| 14:15 | 12/06/2022 | Dr. Prateek Deshmukh | Dermatology      | High                 | None                | Chennai           | 14           |
| 17:00 | 17/06/2022 | Dr. Sanjana Yadav    | Pediatrics       | Moderate             | None                | Jaipur            | 17           |
| 10:30 | 22/06/2022 | Dr. Aarush Singh     | Gynecology        | Low                  | 22-28 Jun 2022      | Guwahati          | 23           |
| 13:00 | 27/06/2022 | Dr. Natasha Reddy    | Cardiology       | High                 | None                | Raipur            | 13           |
